N-Negative,N-Positive,Randomizer,Layers,Layer 1,Layer 2,Layer 3,Layer 4,Act - 1,Act -2,Act-3,Act-4,Optimizer,Epoch,Loss,Metric,Accuracy Train,Accuracy Test,Delta,FileName,Total,TP,TN,FP,FN,Accuracy,Precision,Recall,F1
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,0.9319,0.718,0.2139,NN-2B,29072,418,22089,6435,130,77%,6%,76%,11%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,0.924,0.662,0.262,NN-2B,29072,355,23862,4662,193,83.3%,7.1%,64.8%,12.8%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,0.941,0.72,0.221,NN-2B,29072,398,23200,5324,150,81.2%,7.0%,72.6%,12.7%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,0.943,0.723,0.22,NN-2B,29072,414,22078,6446,134,77.4%,6.0%,75.5%,11.2%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.722627759,,NN-2B,29072,432,21923,6601,116,76.9%,6.1%,78.8%,11.4%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.717761576,,NN-2B,29072,379,23385,5139,169,81.7%,6.9%,69.2%,12.5%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.725060821,,NN-2B,29072,440,23002,5522,108,80.6%,7.4%,80.3%,13.5%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.729927003,,NN-2B,29072,432,21711,6813,116,76.2%,6.0%,78.8%,11.1%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.710462272,,NN-2B,29072,398,22770,5754,150,79.7%,6.5%,72.6%,11.9%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.698296845,,NN-2B,29072,403,23473,5051,145,82.1%,7.4%,73.5%,13.4%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.722627759,,NN-2B,29072,425,22484,6040,123,78.8%,6.6%,77.6%,12.1%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.751824796,,NN-2B,29072,417,23076,5448,131,80.8%,7.1%,76.1%,13.0%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.686131358,,NN-2B,29072,411,22453,6071,137,78.6%,6.3%,75.0%,11.7%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.712895393,,NN-2B,29072,396,23010,5514,152,80.5%,6.7%,72.3%,12.3%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.717761576,,NN-2B,29072,365,24263,4261,183,84.7%,7.9%,66.6%,14.1%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.725060821,,NN-2B,29072,356,24009,4515,192,83.8%,7.3%,65.0%,13.1%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.703163028,,NN-2B,29072,448,22018,6506,100,77.3%,6.4%,81.8%,11.9%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.686131358,,NN-2B,29072,428,20519,8005,120,72.1%,5.1%,78.1%,9.5%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.695863724,,NN-2B,29072,413,22838,5686,135,80.0%,6.8%,75.4%,12.4%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.737226248,,NN-2B,29072,337,24269,4255,211,84.6%,7.3%,61.5%,13.1%
1096,548,50,4,55,55,55,55,relu,relu,relu,relu,Adam,100,Categorical_CrossEntropy,Accuracy,,0.715328455,,NN-2B,29072,415,21935,6589,133,76.9%,5.9%,75.7%,11.0%
